name,email,country
"Góra Dariusz","kyrylpopyk1@gmail.com","Poland"
"Wioletta Zawadzinska","kyrylpopyk1@gmail.com","Czech Republic"
"Katarzyna Durczewska","kyrylpopyk1@gmail.com","Hungary"
"Danuta Wójcik","kyrylpopyk1@gmail.com","Slovakia"
"Danuta Wójcik","kyrylpopyk1@gmail.com","Slovakia"
"Mikołaj Bachuryński","kyrylpopyk1@gmail.com","Bulgaria"
"Lucyna Malecka","kyrylpopyk1@gmail.com","Lithuania"
"Jolanta Bochenek","kyrylpopyk1@gmail.com","Austria"
"Góra Dariusz","kyrylpopyk1@gmail.com","Poland"
"Wioletta Zawadzinska","kyrylpopyk1@gmail.com","Czech Republic"
"Katarzyna Durczewska","kyrylpopyk1@gmail.com","Hungary"
"Danuta Wójcik","kyrylpopyk1@gmail.com","Slovakia"
"Danuta Wójcik","kyrylpopyk1@gmail.com","Slovakia"
"Mikołaj Bachuryński","kyrylpopyk1@gmail.com","Bulgaria"
"Lucyna Malecka","kyrylpopyk1@gmail.com","Lithuania"
"Jolanta Bochenek","kyrylpopyk1@gmail.com","Austria"
"Góra Dariusz","kyrylpopyk1@gmail.com","Poland"
"Wioletta Zawadzinska","kyrylpopyk1@gmail.com","Czech Republic"
"Katarzyna Durczewska","kyrylpopyk1@gmail.com","Hungary"
"Danuta Wójcik","kyrylpopyk1@gmail.com","Slovakia"
"Danuta Wójcik","kyrylpopyk1@gmail.com","Slovakia"
"Mikołaj Bachuryński","kyrylpopyk1@gmail.com","Bulgaria"
"Lucyna Malecka","kyrylpopyk1@gmail.com","Lithuania"
"Jolanta Bochenek","kyrylpopyk1@gmail.com","Austria"
"Góra Dariusz","kyrylpopyk1@gmail.com","Poland"
"Wioletta Zawadzinska","kyrylpopyk1@gmail.com","Czech Republic"
"Katarzyna Durczewska","kyrylpopyk1@gmail.com","Hungary"
"Danuta Wójcik","kyrylpopyk1@gmail.com","Slovakia"
"Danuta Wójcik","kyrylpopyk1@gmail.com","Slovakia"
"Mikołaj Bachuryński","kyrylpopyk1@gmail.com","Bulgaria"
"Lucyna Malecka","kyrylpopyk1@gmail.com","Lithuania"
"Jolanta Bochenek","kyrylpopyk1@gmail.com","Austria"
"Góra Dariusz","kyrylpopyk1@gmail.com","Poland"
"Wioletta Zawadzinska","kyrylpopyk1@gmail.com","Czech Republic"
"Katarzyna Durczewska","kyrylpopyk1@gmail.com","Hungary"
"Danuta Wójcik","kyrylpopyk1@gmail.com","Slovakia"
"Danuta Wójcik","kyrylpopyk1@gmail.com","Slovakia"
"Mikołaj Bachuryński","kyrylpopyk1@gmail.com","Bulgaria"
"Lucyna Malecka","kyrylpopyk1@gmail.com","Lithuania"
"Jolanta Bochenek","kyrylpopyk1@gmail.com","Austria"
"Góra Dariusz","kyrylpopyk1@gmail.com","Poland"
"Wioletta Zawadzinska","kyrylpopyk1@gmail.com","Czech Republic"
"Katarzyna Durczewska","kyrylpopyk1@gmail.com","Hungary"
"Danuta Wójcik","kyrylpopyk1@gmail.com","Slovakia"
"Danuta Wójcik","kyrylpopyk1@gmail.com","Slovakia"
"Mikołaj Bachuryński","kyrylpopyk1@gmail.com","Bulgaria"
"Lucyna Malecka","kyrylpopyk1@gmail.com","Lithuania"
"Jolanta Bochenek","kyrylpopyk1@gmail.com","Austria"
